app_id,app_name,sentiment,review_original,review_tokenized,timestamp
739630,Phasmophobia,negative,맵도 ㅈ같이 없고 하다보면 너무 질리는 맛이 없지않아 있음 한국인 ㅈ도 없고 발음 ㅈ같은 필리핀 AK맨들이랑 해야하는게 좀 많이 ㅈ같다 무섭긴함 근데,맵 도 ㅈ 같이 없고 하다 보면 너무 질리는 맛 이 없지 않아 있음 한국인 ㅈ 도 없고 발음 ㅈ 같은 필리핀 AK 맨 들 이랑 해야하는게 좀 많이 ㅈ 같다 무섭긴 함 근데,2021-01-18 00:51:20
739630,Phasmophobia,negative,그렇게 재밌진 않네요,그렇게 재밌진 않네요,2021-01-16 12:54:02
739630,Phasmophobia,negative,처음본사람한테 왜 죽으라하는데 개새끼야,처음 본 사람 한테 왜 죽으라 하는데 개새끼 야,2021-01-14 20:44:51
739630,Phasmophobia,negative,어떻게 하는지 모르겟서여..........,어떻게 하는지 모르겟 서여 ..........,2021-01-12 20:05:58
739630,Phasmophobia,negative,유통기한 2시간,유통 기한 2시간,2021-01-12 10:52:34
739630,Phasmophobia,negative,튜토리얼인데 집 문이 안열려... 튜토리얼인데 왜 아무것도 알려주는게 없나.. 이 무슨 똥겜..,튜토리얼 인데 집 문 이 안 열려 ... 튜토리얼 인데 왜 아무 것 도 알려주는게 없나 .. 이 무슨 똥겜 ..,2021-01-06 21:53:35
739630,Phasmophobia,negative,기브 어쓰 싸인 시발아,기브 어쓰 싸인 시발 아,2021-01-06 14:58:06
739630,Phasmophobia,negative,소매 넣기 당했는데 이 게임을 하고 까불던 내가 더 까볼게 되었습니다 감사합니다,소매 넣기 당했는데 이 게임 을 하고 까불던 내 가 더 까 볼 게 되었습니다 감사합니다,2021-01-05 18:16:38
739630,Phasmophobia,negative,"공포를 주 장르로 삼기에는 공포감이 없다. 귀신이 뭣도 아니라는 걸 알게 된 후로, 유저가 느끼는 두려움이 금세 휘발되기 때문이다. 또한 게임 내 즐길거리가 적고 정형적이다. 임무 성공 시 얻는 성취감 자체가 부족하기에 플레이를 지속할 동기도 생기지 않는다. 어떤 플레이어든 종국엔 ""EMF 확인이요"" ""카메라 들고 갈게요"" ""손자국 찍어 주세요"" 라는 말만 반복하게 될 것이다. 스트리머들이 귀신 욕하는 게 재밌어 보인다고 지르지 마라, 실상은 좆도 없으니까. 이거 할 바엔 다크소울 하는 게 낫다. Phasmophobia. 6천원 이","공포 를 주 장르 로 삼기에는 공포 감 이 없다 . 귀신 이 뭣 도 아니라는 걸 알 게 된 후 로 , 유저 가 느끼는 두려움 이 금세 휘발 되기 때문 이다 . 또한 게임 내 즐길 거리 가 적고 정형 적 이다 . 임무 성공 시 얻는 성취 감 자체 가 부족하기에 플레이 를 지속 할 동기 도 생기지 않는다 . 어떤 플레이어 든 종국 엔 "" EMF 확인 이 요 "" "" 카메라 들고 갈게요 "" "" 손 자국 찍어 주세요 "" 라는 말 만 반복 하게 될 것 이다 . 스트리머 들 이 귀신 욕 하는 게 재밌어 보인다고 지르지 마라 , 실상 은 좆 도 없으니까 . 이 거 할 바 엔 다크 소울 하는 게 낫다 . Phasmophobia . 6천원 이",2021-01-03 07:49:08
739630,Phasmophobia,negative,어려움,어려움,2020-12-31 13:34:16
